10公里 10gongli 1gl
松河 songhe sh
松江河 songjianghe sjh
松江南 songjiangnan sjn
松江 songjiang sj
松江镇 songjiangzhen sjz
松坎 songkan sk
松岭 songling sl
松青 songqing sq
松树 songshu ss
松树林 songshulin ssl
松树台 songshutai sst
松树镇 songshuzhen ssz
松桃 songtao st
松原 songyuan sy
松滋 songzi sz
嵩明 songming sm
宋 song s
宋城路 songchenglu scl
苏北 subei sb
苏宏图 suhongtu sht
苏吉达巴 sujidaba sjdb
苏集 suji sj
苏家坡 sujiapo sjp
苏尼特左旗 sunitezuoqi sntzq
苏雄 suxiong sx
苏州北 suzhoubei szb
苏州新区 suzhouxinqu szxq
苏州园区 suzhouyuanqu szyq
苏州 suzhou sz
肃宁 suning sn
算王庄 suanwangzhuang swz
绥德 suide sd
绥芬河 suifenhe sfh
绥化 suihua sh
绥棱 suileng sl
绥西 suixi sx
绥阳 suiyang sy
绥中 suizhong sz
绥中北 suizhongbei szb
随州 suizhou sz
遂宁 suining sn
遂宁南 suiningnan snn
遂平 suiping sp
遂溪 suixi sx
孙家 sunjia sj
孙吴 sunwu sw
孙镇 sunzhen sz
索伦 suolun sl
索图罕 suotuhan sth
塔尔根 taergen teg
塔尔气 taerqi teq
塔哈 taha th
塔河 tahe th
塔山 tashan ts
塔崖驿 tayayi tyy
塔源 tayuan ty
台安 taian ta
台前 taiqian tq
台州 taizhou tz
苔青 taiqing tq
太白 taibai tb
太谷 taigu tg
太谷西 taiguxi tgx
太和 taihe th
太湖 taihu th
太姥山 tailaoshan tls
太岭 tailing tl
太平川 taipingchuan tpc
太平岭 taipingling tpl
太平镇 taipingzhen tpz
太平庄 taipingzhuang tpz
太阳沟 taiyanggou tyg
太阳山 taiyangshan tys
太阳升 taiyangsheng tys
太原东 taiyuandong tyd
太原南 taiyuannan tyn
太子河 taizihe tzh
泰安 taian ta
泰和 taihe th
泰康 taikang tk
泰来 tailai tl
泰宁 taining tn
泰山 taishan ts
泰州 taizhou tz
滩头 tantou tt
郯城 tancheng tc
覃家坝 tanjiaba tjb
谭家井 tanjiajing tjj
汤池 tangchi tc
汤山城 tangshancheng tsc
汤头沟 tangtougou ttg
汤旺河 tangwanghe twh
汤逊湖 tangxunhu txh
汤阴 tangyin ty
汤原 tangyuan ty
唐官屯 tangguantun tgt
唐河 tanghe th
唐家 tangjia tj
唐家沱 tangjiatuo tjt
唐家湾 tangjiawan tjw
唐山北 tangshanbei tsb
唐山 tangshan ts
塘豹 tangbao tb
塘沽 tanggu tg
洮南 taonan tn
桃村 taocun tc
桃村北 taocunbei tcb
桃山 taoshan ts
桃映 taoying ty
桃园 taoyuan ty
陶家沟 taojiagou tjg
陶家屯 taojiatun tjt
陶赖昭 taolaizhao tlz
陶力 taoli tl
陶思浩 taosihao tsh
滕州 tengzhou tz
滕州东 tengzhoudong tzd
藤县 tengxian tx
天岗 tiangang tg
天河机场 tianhejichang thjc
天河街 tianhejie thj
天津北 tianjinbei tjb
天津南 tianjinnan tjn
天津西 tianjinxi tjx
天门 tianmen tm
天门南 tianmennan tmn
天棚 tianpeng tp
天桥 tianqiao tq
天桥岭 tianqiaoling tql
天水 tianshui ts
天水南 tianshuinan tsn
天西 tianxi tx
天义 tianyi ty
天镇 tianzhen tz
天柱山 tianzhushan tzs
天祝 tianzhu tz
田东北 tiandongbei tdb
田梁子 tianliangzi tlz
田林 tianlin tl
田师府 tianshifu tsf
田心东 tianxindong txd
田阳 tianyang ty
田庄镇 tianzhuangzhen tzz
铁厂 tiechang tc
铁佛寺 tiefosi tfs
铁口 tiekou tk
铁力 tieli tl
铁岭 tieling tl
铁岭西 tielingxi tlx
铁西 tiexi tx
亭亮 tingliang tl
亭林 tinglin tl
通安驿 tonganyi tay
通北 tongbei tb
通道 tongdao td
通沟 tonggou tg
通海 tonghai th
通化 tonghua th
通化县 tonghuaxian thx
通辽 tongliao tl
通天屯 tongtiantun ttt
通途 tongtu tt
通渭 tongwei tw
通远堡 tongyuanbao tyb
通远堡西 tongyuanbaoxi tybx
通州西 tongzhouxi tzx
同江 tongjiang tj
同心 tongxin tx
佟家 tongjia tj
桐柏 tongbai tb
桐城 tongcheng tc
桐木寨 tongmuzhai tmz
桐乡 tongxiang tx
桐子林 tongzilin tzl
桐梓 tongzi tz
铜佛寺 tongfosi tfs
铜鼓溪 tongguxi tgx
铜罐驿 tongguanyi tgy
铜陵北 tonglingbei tlb
铜陵 tongling tl
铜仁 tongren tr
潼关 tongguan tg
潼南 tongnan tn
统军庄 tongjunzhuang tjz
头道桥 toudaoqiao tdq
头地 toude td
图里河 tulihe tlh
图们 tumen tm
图强 tuqiang tq
土地堂东 tuditangdong tdtd
土贵乌拉 tuguiwula tgwl
土坎 tukan tk
土门子 tumenzi tmz
土们岭 tumenling tml
土牧尔台 tumuertai tmet
土桥子 tuqiaozi tqz
土溪 tuxi tx
吐哈 tuha th
吐列毛杜 tuliemaodu tlmd
吐鲁番 tulufan tlf
吐鲁番北 tulufanbei tlfb
团结 tuanjie tj
团结村 tuanjiecun tjc
沱沱河 tuotuohe tth
驼腰岭 tuoyaoling tyl
瓦房 wafang wf
瓦房店 wafangdian wfd
瓦房店西 wafangdianxi wfdx
瓦拉干 walagan wlg
瓦屋山 wawushan wws
瓦窑坝 wayaoba wyb
瓦窑田 wayaotian wyt
瓦祖 wazu wz
歪头山 waitoushan wts
弯道 wandao wd
弯坵 wanqiu wq
湾沟 wangou wg
完工 wangong wg
万发屯 wanfatun wft
万家屯 wanjiatun wjt
万乐 wanle wl
万隆 wanlong wl
万年 wannian wn
万宁 wanning wn
万源 wanyuan wy
万州 wanzhou wz
万州北 wanzhoubei wzb
汪清 wangqing wq
王安镇 wanganzhen waz
王场 wangchang wc
王府 wangfu wf
王岗 wanggang wg
王家坝 wangjiaba wjb
王家湾 wangjiawan wjw
王家营西 wangjiayingxi wjyx
王团庄 wangtuanzhuang wtz
王杨 wangyang wy
王兆屯 wangzhaotun wzt
王庄 wangzhuang wz
望江 wangjiang wj
威海 weihai wh
威海北 weihaibei whb
威岭 weiling wl
威宁 weining wn
威箐 weiqing wq
威舍 weishe ws
微子镇 weizizhen wzz
韦庄 weizhuang wz
潍坊 weifang wf
苇河 weihe wh
苇子沟 weizigou wzg
卫东 weidong wd
卫辉 weihui wh
卫星 weixing wx
渭津 weijin wj
渭南 weinan wn
渭南北 weinanbei wnb
渭南镇 weinanzhen wnz
魏杖子 weizhangzi wzz
魏杖子 weizhangzi wzz
温春 wenchun wc
温都和硕 wendouheshuo wdhs
温岭 wenling wl
温泉寺 wenquansi wqs
温州南 wenzhounan wzn
温州 wenzhou wz
文昌 wenchang wc
文登 wendeng wd
文登东 wendengdong wdd
文地 wende wd
文水 wenshui ws
文庄村 wenzhuangcun wzc
闻喜 wenxi wx
闻喜西 wenxixi wxx
倭肯 woken wk
涡阳 woyang wy
沃皮 wopi wp
卧虎屯 wohutun wht
卧里屯 wolitun wlt
卧牛河 woniuhe wnh
乌尔旗汗 wuerqihan weqh
乌固诺尔 wugunuoer wgne
乌海北 wuhaibei whb
乌海西 wuhaixi whx
乌海 wuhai wh
乌拉山 wulashan wls
乌拉特前旗 wulateqianqi wltqq
乌兰 wulan wl
乌兰察布 wulanchabu wlcb
乌兰哈达 wulanhada wlhd
乌兰浩特 wulanhaote wlht
乌兰胡同 wulanhutong wlht
乌兰花 wulanhua wlh
乌兰丘 wulanqiu wlq
乌兰昭 wulanzhao wlz
乌力吉尔 wulijier wlje
乌龙泉南 wulongquannan wlqn
乌鲁布铁 wulubutie wlbt
乌鲁木齐 wulumuqi wlmq
乌鲁木齐南 wulumuqinan wlmqn
乌奴耳 wunuer wne
乌斯土 wusitu wst
乌伊岭 wuyiling wyl
无为 wuwei ww
无锡东 wuxidong wxd
无锡新区 wuxixinqu wxxq
芜湖 wuhu wh
吴堡 wubu wb
吴官田 wuguantian wgt
吴家川 wujiachuan wjc
吴家屯 wujiatun wjt
吴桥 wuqiao wq
梧州 wuzhou wz
梧州南 wuzhounan wzn
五叉沟 wuchagou wcg
五常 wuchang wc
五大连池 wudalianchi wdlc
五道沟 wudaogou wdg
五道河 wudaohe wdh
五凤溪 wufengxi wfx
五府山 wufushan wfs
五家 wujia wj
五棵树 wukeshu wks
五莲 wulian wl
五林 wulin wl
五龙 wulong wl
五龙背 wulongbei wlb
五龙背东 wulongbeidong wlbd
五女山 wunvshan wns
五桥 wuqiao wq
五三 wusan ws
五十家子 wushijiazi wsjz
五台山 wutaishan wts
五星 wuxing wx
五营 wuying wy
五原 wuyuan wy
五寨 wuzhai wz
午汲 wuji wj
武安 wuan wa
武当山 wudangshan wds
武功 wugong wg
武隆 wulong wl
武清 wuqing wq
武山 wushan ws
武胜 wusheng ws
武威 wuwei ww
武威南 wuweinan wwn
武乡 wuxiang wx
武穴 wuxue wx
武夷山 wuyishan wys
武夷山北 wuyishanbei wysb
武夷山东 wuyishandong wysd
武义 wuyi wy
武陟 wuzhi wz
婺源 wuyuan wy
西安南 xiannan xan
西昌 xichang xc
西昌南 xichangnan xcn
西大庙 xidamiao xdm
西大滩 xidatan xdt
西斗铺 xidoupu xdp
西丰 xifeng xf
西岗子 xigangzi xgz
西沟 xigou xg
西固城 xigucheng xgc
西贺村 xihecun xhc
西湖东 xihudong xhd
西街口 xijiekou xjk
西里 xili xl
西林 xilin xl
西岭口 xilingkou xlk
西柳 xiliu xl
西六方 xiliufang xlf
西麻山 ximashan xms
西宁 xining xn
西平 xiping xp
西桐古 xitonggu xtg
西乌旗 xiwuqi xwq
西乌旗 xiwuqi xwq
西武匠 xiwujiang xwj
西峡 xixia xx
西乡 xixiang xx
西小召 xixiaozhao xxz
西阳岔 xiyangcha xyc
西阳村 xiyangcun xyc
西哲里木 xizhelimu xzlm
汐子 xizi xz
息烽 xifeng xf
息县 xixian xx
浠水 xishui xs
犀浦 xipu xp
犀浦东 xipudong xpd
锡林浩特 xilinhaote xlht
锡林呼都嘎 xilinhudouga xlhdg
锡铁山 xitieshan xts
溪洞 xidong xd
歙县北 shexianbei sxb
歙县 shexian sx
喜德 xide xd
峡江 xiajiang xj
霞浦 xiapu xp
下板城 xiabancheng xbc
下仓 xiacang xc
下城子 xiachengzi xcz
下花园 xiahuayuan xhy
下坑子 xiakengzi xkz
下两 xialiang xl
下马塘 xiamatang xmt
下普雄 xiapuxiong xpx
下社 xiashe xs
下台子 xiataizi xtz
夏坝 xiaba xb
夏官营 xiaguanying xgy
夏拉哈马 xialahama xlhm
夏石 xiashi xs
夏邑县 xiayixian xyx
仙林 xianlin xl
仙人桥 xianrenqiao xrq
仙水 xianshui xs
仙桃西 xiantaoxi xtx
仙游 xianyou xy
先锋 xianfeng xf
鲜滩 xiantan xt
咸宁 xianning xn
咸宁北 xianningbei xnb
咸宁东 xianningdong xnd
咸宁南 xianningnan xnn
咸阳 xianyang xy
咸阳秦都 xianyangqindou xyqd
香坊 xiangfang xf
香兰 xianglan xl
香樟路 xiangzhanglu xzl
湘府路 xiangfulu xfl
湘潭 xiangtan xt
湘潭北 xiangtanbei xtb
湘乡 xiangxiang xx
襄汾 xiangfen xf
襄汾西 xiangfenxi xfx
襄河 xianghe xh
襄阳 xiangyang xy
襄阳东 xiangyangdong xyd
襄垣 xiangyuan xy
祥云 xiangyun xy
向塘 xiangtang xt
向阳 xiangyang xy
向阳川 xiangyangchuan xyc
向阳村 xiangyangcun xyc
项城 xiangcheng xc
小白 xiaobai xb
小北 xiaobei xb
小村 xiaocun xc
小得江 xiaodejiang xdj
小东 xiaodong xd
小儿坪 xiaoerping xep
小姑家 xiaogujia xgj
小关溪 xiaoguanxi xgx
小河沿 xiaoheyan xhy
小河镇 xiaohezhen xhz
小金口 xiaojinkou xjk
小榄 xiaolan xl
小岭 xiaoling xl
小南海 xiaonanhai xnh
小南垭 xiaonanya xny
小平房 xiaopingfang xpf
小山 xiaoshan xs
小哨 xiaoshao xs
小市 xiaoshi xs
小寺沟 xiaosigou xsg
小宋 xiaosong xs
小西堡 xiaoxibao xxb
小西庄 xiaoxizhuang xxz
小新街 xiaoxinjie xxj
小兴隆地 xiaoxinglongde xxld
小扬气 xiaoyangqi xyq
小榆树 xiaoyushu xys
小雨谷 xiaoyugu xyg
小月旧 xiaoyuejiu xyj
孝感 xiaogan xg
孝感北 xiaoganbei xgb
孝感东 xiaogandong xgd
孝南 xiaonan xn
孝西 xiaoxi xx
协荣 xierong xr
谢家镇 xiejiazhen xjz
辛集 xinji xj
忻州 xinzhou xz
新安 xinan xa
新安县 xinanxian xax
新安庄 xinanzhuang xaz
新场 xinchang xc
新绰源 xinchuoyuan xcy
新城子 xinchengzi xcz
新干 xingan xg
新高峰 xingaofeng xgf
新固镇 xinguzhen xgz
新寒岭 xinhanling xhl
新和 xinhe xh
新华 xinhua xh
新华屯 xinhuatun xht
新化 xinhua xh
新化南 xinhuanan xhn
新晃 xinhuang xh
新晃西 xinhuangxi xhx
新会 xinhui xh
新家 xinjia xj
新江 xinjiang xj
新绛 xinjiang xj
新津 xinjin xj
新津南 xinjinnan xjn
新津 xinjin xj
新开 xinkai xk
新李 xinli xl
新立屯 xinlitun xlt
新立镇 xinlizhen xlz
新凉 xinliang xl
新林 xinlin xl
新民 xinmin xm
新民场 xinminchang xmc
新南沟 xinnangou xng
新平坝 xinpingba xpb
新坪田 xinpingtian xpt
新坡 xinpo xp
新桥 xinqiao xq
新青 xinqing xq
新邱 xinqiu xq
新泉 xinquan xq
新市区 xinshiqu xsq
新松浦 xinsongpu xsp
新天 xintian xt
新窝铺 xinwopu xwp
新贤城 xinxiancheng xxc
新县 xinxian xx
新乡 xinxiang xx
新乡东 xinxiangdong xxd
新香坊 xinxiangfang xxf
新彦 xinyan xy
新阳镇 xinyangzhen xyz
新沂 xinyi xy
新友谊 xinyouyi xyy
新余 xinyu xy
新余北 xinyubei xyb
新杖子 xinzhangzi xzz
新帐房 xinzhangfang xzf
新肇 xinzhao xz
新郑机场 xinzhengjichang xzjc
信丰 xinfeng xf
信阳 xinyang xy
信阳东 xinyangdong xyd
信宜 xinyi xy
星朗 xinglang xl
邢台东 xingtaidong xtd
邢台 xingtai xt
兴安北 xinganbei xab
兴安岭 xinganling xal
兴城 xingcheng xc
兴福 xingfu xf
兴国 xingguo xg
兴和 xinghe xh
兴和西 xinghexi xhx
兴凯 xingkai xk
兴莲 xinglian xl
兴隆店 xinglongdian xld
兴隆县 xinglongxian xlx
兴隆镇 xinglongzhen xlz
兴宁 xingning xn
兴平 xingping xp
兴泉堡 xingquanbao xqb
兴无 xingwu xw
兴业 xingye xy
兴义 xingyi xy
杏树 xingshu xs
杏树屯 xingshutun xst
熊岳城 xiongyuecheng xyc
修武西 xiuwuxi xwx
宿松 susong ss
宿州东 suzhoudong szd
宿州 suzhou sz
秀山 xiushan xs
绣峰 xiufeng xf
徐家 xujia xj
徐家店 xujiadian xjd
徐家坪 xujiaping xjp
徐水 xushui xs
徐闻 xuwen xw
徐州东 xuzhoudong xzd
徐州 xuzhou xz
许昌 xuchang xc
许昌东 xuchangdong xcd
许家台 xujiatai xjt
许家屯 xujiatun xjt
许三湾 xusanwan xsw
溆浦 xupu xp
溆浦南 xupunan xpn
轩岗 xuangang xg
宣城 xuancheng xc
宣汉 xuanhan xh
宣和 xuanhe xh
宣化 xuanhua xh
宣威 xuanwei xw
悬钟 xuanzhong xz
薛家 xuejia xj
学庄 xuezhuang xz
旬阳 xunyang xy
旬阳北 xunyangbei xyb
巡场 xunchang xc
鸭圆 yayuan yy
鸭江 yajiang yj
牙克石 yakeshi yks
牙屯堡 yatunbao ytb
崖州 yazhou yz
衙门庙 yamenmiao ymm
雅河 yahe yh
雅鲁 yalu yl
亚布力 yabuli ybl
亚布力南 yabulinan ybln
亚复 yafu yf
亚沟 yagou yg
亚河 yahe yh
亚龙湾 yalongwan ylw
垭口 yakou yk
烟台 yantai yt
烟台南 yantainan ytn
烟筒山 yantongshan yts
烟筒屯 yantongtun ytt
焉耆 yanqi yq
延安 yanan ya
延吉 yanji yj
延津 yanjin yj
延庆 yanqing yq
岩会 yanhui yh
岩山 yanshan ys
炎陵 yanling yl
沿河城 yanhecheng yhc
沿河城西 yanhechengxi yhcx
盐城 yancheng yc
盐池 yanchi yc
盐津 yanjin yj
盐津北 yanjinbei yjb
阎家 yanjia yj
阎良 yanliang yl
兖州 yanzhou yz
偃师 yanshi ys
砚川 yanchuan yc
晏城 yancheng yc
晏家坝 yanjiaba yjb
雁翅 yanchi yc
雁荡山 yandangshan yds
燕岗 yangang yg
燕家庄 yanjiazhuang yjz
燕郊 yanjiao yj
燕山 yanshan ys
燕子砭 yanzibian yzb
秧草地 yangcaodi ycd
扬州 yangzhou yz
羊草 yangcao yc
羊场 yangchang yc
羊臼河 yangjiuhe yjh
羊坪 yangping yp
羊圈子 yangjuanzi yjz
羊尾哨 yangweishao yws
羊者窝 yangzhewo yzw
阳岔 yangcha yc
阳城 yangcheng yc
阳澄湖 yangchenghu ych
阳春 yangchun yc
阳方口 yangfangkou yfk
阳高 yanggao yg
阳谷 yanggu yg
阳明堡 yangmingbao ymb
阳平关 yangpingguan ypg
阳曲 yangqu yq
阳泉北 yangquanbei yqb
阳泉曲 yangquanqu yqq
阳泉 yangquan yq
阳朔 yangshuo ys
阳新 yangxin yx
阳信 yangxin yx
阳邑 yangyi yy
杨岗 yanggang yg
杨各庄 yanggezhuang ygz
杨家 yangjia yj
杨家营 yangjiaying yjy
杨林 yanglin yl
杨陵 yangling yl
杨陵南 yanglingnan yln
杨柳青 yangliuqing ylq
杨木 yangmu ym
杨木山 yangmushan yms
杨树岭 yangshuling ysl
杨树湾 yangshuwan ysw
杨漩 yangxuan yx
杨杖子 yangzhangzi yzz
洋河 yanghe yh
养马河 yangmahe ymh
腰栈 yaozhan yz
姚安 yaoan ya
姚渡 yaodu yd
姚家 yaojia yj
姚千户屯 yaoqianhutun yqht
窑上 yaoshang ys
野三坡 yesanpo ysp
叶柏寿 yebaishou ybs
叶城 yecheng yc
叶榭 yexie yx
一步滩 yibutan ybt
一间堡 yijianbao yjb
一面坡 yimianpo ymp
一面山 yimianshan yms
伊春 yichun yc
伊尔施 yiershi yes
伊拉哈 yilaha ylh
伊林 yilin yl
伊敏 yimin ym
伊宁 yining yn
伊宁东 yiningdong ynd
伊通 yitong yt
伊图里河 yitulihe ytlh
依安 yian ya
沂南 yinan yn
沂水 yishui ys
宜宾 yibin yb
宜宾南 yibinnan ybn
宜昌东 yichangdong ycd
宜城 yicheng yc
宜春 yichun yc
宜良北 yiliangbei ylb
宜耐 yinai yn
宜兴 yixing yx
宜州 yizhou yz
彝良 yiliang yl
彝良南 yiliangnan yln
迤那 yina yn
迤资 yizi yz
弋阳 yiyang yy
义井 yijing yj
义马 yima ym
义乌 yiwu yw
义县 yixian yx
益阳 yiyang yy
银川 yinchuan yc
银浪 yinlang yl
银瓶 yinping yp
银滩 yintan yt
银镇 yinzhen yz
尹地 yinde yd
饮马峡 yinmaxia ymx
饮马峡西 yinmaxiaxi ymxx
英德 yingde yd
英德西 yingdexi ydx
英吉沙 yingjisha yjs
鹰手营子 yingshouyingzi ysyz
鹰潭北 yingtanbei ytb
迎宾路 yingbinlu ybl
迎春 yingchun yc
迎水桥 yingshuiqiao ysq
迎祥街 yingxiangjie yxj
营城 yingcheng yc
营城子 yingchengzi ycz
营东 yingdong yd
营街 yingjie yj
营口 yingkou yk
营口东 yingkoudong ykd
营盘水 yingpanshui yps
营盘湾 yingpanwan ypw
营山 yingshan ys
颖上 yingshang ys
影壁山 yingbishan ybs
应城 yingcheng yc
应县 yingxian yx
永安 yongan ya
永安乡 yonganxiang yax
永川 yongchuan yc
永登 yongdeng yd
永甸 yongdian yd
永定 yongding yd
永丰营 yongfengying yfy
永福南 yongfunan yfn
永和 yonghe yh
永济 yongji yj
永济北 yongjibei yjb
永嘉 yongjia yj
永康 yongkang yk
永郎 yonglang yl
永乐店 yongledian yld
永宁 yongning yn
永胜 yongsheng ys
永寿 yongshou ys
永泰 yongtai yt
永修 yongxiu yx
永州 yongzhou yz
攸县南 youxiannan yxn
尤溪 youxi yx
油溪 youxi yx
友好 youhao yh
酉阳 youyang yy
于都 yudou yd
于家堡 yujiabao yjb
余杭 yuhang yh
余江 yujiang yj
余粮堡 yuliangbao ylb
余姚北 yuyaobei yyb
余姚 yuyao yy
鱼背山 yubeishan ybs
鱼卡 yuka yk
鱼泉 yuquan yq
鱼泉 yuquan yq
俞冲 yuchong yc
榆次 yuci yc
榆林 yulin yl
榆社 yushe ys
榆树 yushu ys
榆树川 yushuchuan ysc
榆树沟 yushugou ysg
榆树台 yushutai yst
榆树屯 yushutun yst
榆中 yuzhong yz
虞城县 yuchengxian ycx
宇宙地 yuzhoude yzd
雨格 yuge yg
禹城 yucheng yc
玉林 yulin yl
玉门 yumen ym
玉屏 yuping yp
玉泉 yuquan yq
玉山 yushan ys
玉山南 yushannan ysn
玉舍 yushe ys
玉石 yushi ys
玉田县 yutianxian ytx
玉溪 yuxi yx
郁南 yunan yn
郁山 yushan ys
育新 yuxin yx
育英 yuying yy
鸳鸯镇 yuanyangzhen yyz
元坝 yuanba yb
元宝山 yuanbaoshan ybs
元龙 yuanlong yl
元谋 yuanmou ym
元氏 yuanshi ys
元田坝 yuantianba ytb
园墩 yuandun yd
原林 yuanlin yl
原平 yuanping yp
源迁 yuanqian yq
源潭 yuantan yt
月华 yuehua yh
月亮田 yueliangtian ylt
月山 yueshan ys
岳池 yuechi yc
岳家井 yuejiajing yjj
岳阳 yueyang yy
岳阳东 yueyangdong yyd
越西 yuexi yx
云彩岭 yuncailing ycl
云东海 yundonghai ydh
云端 yunduan yd
云浮东 yunfudong yfd
云居寺 yunjusi yjs
云梦 yunmeng ym
云山 yunshan ys
云田乡 yuntianxiang ytx
云霄 yunxiao yx
运城 yuncheng yc
运城北 yunchengbei ycb
郓城 yuncheng yc
枣林 zaolin zl
枣强 zaoqiang zq
枣阳 zaoyang zy
枣庄 zaozhuang zz
枣庄东 zaozhuangdong zzd
枣庄西 zaozhuangxi zzx
枣子林 zaozilin zzl
泽普 zepu zp
缯溪河 zengxihe zxh
扎布其尔 zhabuqier zbqe
扎赉诺尔 zhalainuoer zlne
扎赉诺尔西 zhalainuoerxi zlnex
扎兰屯 zhalantun zlt
扎鲁特 zhalute zlt
扎罗木得 zhaluomude zlmd
扎音河 zhayinhe zyh
柞水 zhashui zs
湛江 zhanjiang zj
湛江西 zhanjiangxi zjx
张百湾 zhangbaiwan zbw
张家川 zhangjiachuan zjc
张家船 zhangjiachuan zjc
张家祠 zhangjiaci zjc
张家界 zhangjiajie zjj
张家口南 zhangjiakounan zjkn
张家口 zhangjiakou zjk
张兰 zhanglan zl
张桥 zhangqiao zq
张三营 zhangsanying zsy
张台子 zhangtaizi ztz
张维屯 zhangweitun zwt
张辛 zhangxin zx
张掖 zhangye zy
张掖西 zhangyexi zyx
章党 zhangdang zd
章古台 zhanggutai zgt
章丘 zhangqiu zq
彰武 zhangwu zw
漳平 zhangping zp
漳浦 zhangpu zp
漳州 zhangzhou zz
漳州东 zhangzhoudong zzd
樟木头 zhangmutou zmt
樟木头东 zhangmutoudong zmtd
樟树 zhangshu zs
樟树东 zhangshudong zsd
长城 changcheng cc
长冲 zhangchong zc
长春南 changchunnan ccn
长春西 changchunxi ccx
长甸 zhangdian zd
长发屯 changfatun cft
长葛 zhangge zg
长河碥 changhebian chb
长虹 changhong ch
长临河 zhanglinhe zlh
长岭子 zhanglingzi zlz
长农 zhangnong zn
长坡岭 zhangpoling zpl
长庆桥 zhangqingqiao zqq
长沙 changsha cs
长沙埂 changshageng csg
长山屯 zhangshantun zst
长寿 changshou cs
长寿北 changshoubei csb
长寿湖 changshouhu csh
长潭沟 zhangtangou ztg
长汀 changting ct
长汀南 changtingnan ctn
长汀镇 changtingzhen ctz
长武 zhangwu zw
长兴南 changxingnan cxn
长兴 changxing cx
长阳 zhangyang zy
长缨 changying cy
长垣 zhangyuan zy
长征 changzheng cz
长治 zhangzhi zz
长治北 zhangzhibei zzb
长子 zhangzi zz
招柏 zhaobai zb
昭山 zhaoshan zs
昭通 zhaotong zt
昭通北 zhaotongbei ztb
昭通南 zhaotongnan ztn
诏安 zhaoan za
赵城 zhaocheng zc
赵光 zhaoguang zg
赵家店 zhaojiadian zjd
赵庄 zhaozhuang zz
照福铺 zhaofupu zfp
肇东 zhaodong zd
肇庆 zhaoqing zq
肇庆东 zhaoqingdong zqd
哲里木 zhelimu zlm
枕头峰 zhentoufeng ztf
轸溪 zhenxi zx
镇安 zhenan za
镇城底 zhenchengdi zcd
镇江南 zhenjiangnan zjn
镇江 zhenjiang zj
镇赉 zhenlai zl
镇平 zhenping zp
镇西 zhenxi zx
镇远 zhenyuan zy
镇紫街 zhenzijie zzj
正定机场 zhengdingjichang zdjc
正定站 zhengdingzhan zdz
正镶白旗 zhengxiangbaiqi zxbq
郑家屯 zhengjiatun zjt
郑州西 zhengzhouxi zzx
枝城 zhicheng zc
枝江北 zhijiangbei zjb
织金 zhijin zj
芷江 zhijiang zj
纸坊东 zhifangdong zfd
轵城 zhicheng zc
治安 zhian za
治山 zhishan zs
中川机场 zhongchuanjichang zcjc
中和 zhonghe zh
中宁 zhongning zn
中宁东 zhongningdong znd
中宁南 zhongningnan znn
中山 zhongshan zs
中山北 zhongshanbei zsb
中台子 zhongtaizi ztz
中卫 zhongwei zw
中兴 zhongxing zx
中寨 zhongzhai zz
中嘴 zhongzui zz
忠工屯 zhonggongtun zgt
钟家村 zhongjiacun zjc
钟山西 zhongshanxi zsx
钟祥 zhongxiang zx
仲恺 zhongkai zk
重庆 chongqing cq
重庆东 chongqingdong cqd
重庆南 chongqingnan cqn
重庆西 chongqingxi cqx
周家 zhoujia zj
周家屯 zhoujiatun zjt
周口 zhoukou zk
周士庄 zhoushizhuang zsz
周水子 zhoushuizi zsz
朱嘎 zhuga zg
朱家沟 zhujiagou zjg
朱家窑 zhujiayao zjy
朱日和 zhurihe zrh
朱石寨 zhushizhai zsz
朱杨溪 zhuyangxi zyx
珠海 zhuhai zh
珠海北 zhuhaibei zhb
珠斯花 zhusihua zsh
珠窝 zhuwo zw
珠窝东 zhuwodong zwd
株洲南 zhuzhounan zzn
株洲西 zhuzhouxi zzx
诸城 zhucheng zc
诸暨 zhuji zj
竹园坝 zhuyuanba zyb
驻马店 zhumadian zmd
驻马店西 zhumadianxi zmdx
庄河北 zhuanghebei zhb
庄桥 zhuangqiao zq
壮志 zhuangzhi zz
涿州东 zhuozhoudong zzd
涿州 zhuozhou zz
卓资东 zhuozidong zzd
卓资山 zhuozishan zzs
资溪 zixi zx
资阳 ziyang zy
资阳北 ziyangbei zyb
资中 zizhong zz
淄博 zibo zb
子长 zizhang zz
子洲 zizhou zz
紫荆关 zijingguan zjg
紫阳 ziyang zy
自贡 zigong zg
棕溪 zongxi zx
邹城 zoucheng zc
遵义 zunyi zy
左家 zuojia zj
左岭 zuoling zl
